order_id,date,product,price,quantity,region,category
100000,2022-04-13,Camera,36242,7,West,Electronics
100001,2023-03-12,Laptop,25360,2,East,Electronics
100002,2024-05-10,Keyboard,55300,1,North,Accessories
100003,2022-09-28,Camera,39712,7,West,Electronics
100004,2022-04-17,Tablet,18724,6,Central,Electronics
100005,2022-03-13,Keyboard,67914,2,South,Accessories
100006,2023-12-02,Keyboard,75838,4,Central,Accessories
100007,2022-01-21,Mouse,29038,2,North,Accessories
100008,2023-09-07,Monitor,15537,4,North,Electronics
100009,2022-05-02,Mouse,12190,7,East,Accessories
100010,2023-04-12,Tablet,10823,6,West,Electronics
100011,2022-08-03,Printer,3814,3,West,Office
100012,2022-11-27,Laptop,46685,6,East,Electronics
100013,2023-04-04,Tablet,34646,5,Central,Electronics
100014,2022-03-29,Printer,14856,1,West,Office
100015,2023-01-08,Tablet,77305,2,Central,Electronics
100016,2022-04-10,Printer,5840,7,South,Office
100017,2024-05-21,Camera,45352,6,North,Electronics
100018,2023-10-26,Laptop,63050,1,South,Electronics
100019,2022-05-11,Printer,43175,2,East,Office
100020,2023-10-24,Keyboard,892,7,West,Accessories
100021,2022-11-05,Tablet,71507,3,South,Electronics
100022,2024-02-09,Laptop,50921,7,North,Electronics
100023,2022-12-10,Printer,8637,7,West,Office
100024,2023-05-07,Keyboard,14497,4,Central,Accessories
100025,2023-02-18,Keyboard,30778,1,West,Accessories
100026,2024-03-16,Camera,10897,3,North,Electronics
100027,2023-01-21,Monitor,32030,3,West,Electronics
100028,2022-07-11,Keyboard,48864,5,South,Accessories
100029,2024-08-13,Mouse,5294,3,East,Accessories
100030,2022-10-04,Laptop,72399,5,South,Electronics
100031,2022-06-10,Laptop,8579,7,West,Electronics
100032,2023-04-05,Laptop,78068,3,Central,Electronics
100033,2022-11-10,Printer,67541,7,West,Office
100034,2022-01-22,Tablet,9948,4,North,Electronics
100035,2022-09-10,Printer,79276,3,South,Office
100036,2024-01-18,Mouse,60106,6,South,Accessories
100037,2024-05-06,Tablet,40677,4,West,Electronics
100038,2023-07-15,Camera,33477,2,East,Electronics
100039,2023-04-20,Keyboard,20677,3,West,Accessories
100040,2022-02-28,Printer,54173,7,East,Office
100041,2023-05-26,Tablet,19931,3,West,Electronics
100042,2023-11-13,Keyboard,68155,2,South,Accessories
100043,2023-04-21,Tablet,677,7,East,Electronics
100044,2023-12-01,Keyboard,10726,5,North,Accessories
100045,2024-09-02,Tablet,12731,4,East,Electronics
100046,2024-02-22,Printer,49926,2,Central,Office
100047,2022-07-09,Printer,52647,2,North,Office
100048,2024-08-15,Mouse,14582,6,West,Accessories
100049,2023-11-18,Camera,73811,7,Central,Electronics
100050,2024-08-15,Camera,16675,1,North,Electronics
100051,2023-07-17,Monitor,14633,2,West,Electronics
